Date,Close,Volume
8/19/2015,54.2689,6044193
8/20/2015,52.5916,7470885
8/21/2015,49.7928,20211503
8/24/2015,47.437,27158813
8/25/2015,48.1438,19659002
8/26/2015,50.8482,15517591
8/27/2015,52.7235,15987923
8/28/2015,52.4219,7584826
8/31/2015,51.555,7971204
9/1/2015,50.4148,13424932
9/2/2015,52.0733,9891071
9/3/2015,51.5361,7968868
9/4/2015,51.1498,6994267
9/8/2015,52.0262,8051710
9/9/2015,51.5361,8406656
9/10/2015,52.1769,8924778
9/11/2015,53.27,8363110
9/14/2015,53.0439,5464463
9/15/2015,53.6281,6741341
9/16/2015,53.9579,6593362
9/17/2015,53.9768,7525349
9/18/2015,53.5622,16268035
9/21/2015,54.2218,6220131
9/22/2015,53.826,8585093
9/23/2015,54.4574,6829205
9/24/2015,55.0039,10027330
9/25/2015,54.6458,10627026
9/28/2015,52.5539,11548114
9/29/2015,52.5068,9392065
9/30/2015,53.5622,9799610
10/1/2015,54.1653,8497124
10/2/2015,54.7307,9036765
10/5/2015,55.6353,8198998
10/6/2015,55.3055,5642949
10/7/2015,55.3903,8138313
10/8/2015,56.0311,6834836
10/9/2015,56.6059,7969884
10/12/2015,57.0488,6430301
10/13/2015,56.6907,6262774
10/14/2015,55.428,8365604
10/15/2015,56.2478,9745919
10/16/2015,56.474,12860812
10/19/2015,57.454,8117213
10/20/2015,57.3692,6089097
10/21/2015,57.0394,6063923
10/22/2015,57.944,9182031
10/23/2015,58.9994,8205994
10/26/2015,59.7721,9751716
10/27/2015,59.0937,8973243
10/28/2015,59.8475,9627260
10/29/2015,58.8958,14839093
10/30/2015,58.9617,16822302
11/2/2015,58.6508,8547237
11/3/2015,59.1785,8847718
11/4/2015,58.3869,9085091
11/5/2015,58.6884,6144979
11/6/2015,58.3963,6616305
11/9/2015,57.9898,6838326
11/10/2015,58.7839,6689040
11/11/2015,58.4908,4437315
11/12/2015,57.7345,6793779
11/13/2015,56.4772,8821593
11/16/2015,57.3658,8096603
11/17/2015,57.2429,6695251
11/18/2015,58.4247,7215255
11/19/2015,58.1032,5154366
11/20/2015,58.6043,8302476
11/23/2015,59.2188,8493485
11/24/2015,58.5759,7908223
11/25/2015,58.7934,4549913
11/27/2015,58.7839,2447902
11/30/2015,58.0371,9863771
12/1/2015,58.0182,10910838
12/2/2015,57.8763,6587454
12/3/2015,56.2976,12056103
12/4/2015,58.3774,9100588
12/7/2015,58.5097,5967809
12/8/2015,58.765,6664947
12/9/2015,57.8385,8541573
12/10/2015,58.4908,6623896
12/11/2015,56.5528,11489255
12/14/2015,56.6473,13453719
12/15/2015,56.7041,7842073
12/16/2015,57.0539,9281835
12/17/2015,56.2645,9079430
12/18/2015,55.4183,18099462
12/21/2015,56.2881,7187470
12/22/2015,56.7135,6501424
12/23/2015,57.0444,4510229
12/24/2015,57.0255,2215418
12/28/2015,56.9026,4437236
12/29/2015,57.7913,5477335
12/30/2015,57.4982,3973912
12/31/2015,56.7513,4960875
1/4/2016,55.078,13521544
1/5/2016,55.4467,9617778
1/6/2016,54.9551,8266322
1/7/2016,53.5938,11140877
1/8/2016,53.537,10427021
1/11/2016,54.662,10757313
1/12/2016,56.2125,12375826
1/13/2016,54.7093,11303603
1/14/2016,55.7587,11444106
1/15/2016,54.8322,15246127
1/19/2016,55.3522,12288950
1/20/2016,53.8112,22786359
1/21/2016,55.806,20888519
1/22/2016,55.9383,32820193
1/25/2016,54.5581,13554262
1/26/2016,55.4089,8898100
1/27/2016,54.4824,12491252
1/28/2016,56.047,11832368
1/29/2016,57.4509,13224438
2/1/2016,58.0465,9529094
2/2/2016,57.5675,9407352
2/3/2016,56.4625,12254460
2/4/2016,55.2864,13944926
2/5/2016,51.6822,24529008
2/8/2016,51.3503,21457492
2/9/2016,51.6159,11605059
2/10/2016,52.2988,11663942
2/11/2016,52.0901,12106062
2/12/2016,52.9817,8680205
2/16/2016,53.5033,11594766
2/17/2016,54.6604,11955188
2/18/2016,54.025,8493953
2/19/2016,54.6984,9033620
2/22/2016,55.8366,8390689
2/23/2016,55.4477,7064095
2/24/2016,55.1157,10780882
2/25/2016,55.7227,6262127
2/26/2016,55.3339,7473374
2/29/2016,55.2106,7645081
3/1/2016,56.9463,9183562
3/2/2016,56.491,8856392
3/3/2016,55.9978,8262455
3/4/2016,55.6753,8344773
3/7/2016,55.0114,9204624
3/8/2016,54.632,8127426
3/9/2016,54.1293,9734589
3/10/2016,54.5561,7023785
3/11/2016,54.6225,15497560
3/14/2016,55.6279,9053250
3/15/2016,56.0357,7428469
3/16/2016,56.5953,8069427
3/17/2016,56.4815,7734658
3/18/2016,56.6238,14313578
3/21/2016,56.0547,6487185
3/22/2016,56.3203,8246837
3/23/2016,55.7986,5794495
3/24/2016,55.3528,5948307
3/28/2016,55.9219,5791603
3/29/2016,56.4815,6031947
3/30/2016,56.9178,5723499
3/31/2016,56.6238,5622834
4/1/2016,57.8758,9401126
4/4/2016,57.1454,5799864
4/5/2016,56.9463,4994792
4/6/2016,57.6956,5667253
4/7/2016,58.018,8239174
4/8/2016,57.8947,5064894
4/11/2016,57.762,6103358
4/12/2016,56.4341,17565750
4/13/2016,57.1075,9898527
4/14/2016,57.0316,5157368
4/15/2016,57.392,5965310
4/18/2016,57.7525,7228573
4/19/2016,57.762,7283570
4/20/2016,57.762,5558770
4/21/2016,57.5153,12799083
4/22/2016,54.7079,29836693
4/25/2016,54.7932,8428038
4/26/2016,54.7458,8839067
4/27/2016,53.9681,12390767
4/28/2016,53.5128,9196560
4/29/2016,53.3326,12133364
5/2/2016,54.4044,8616189
5/3/2016,53.5382,7854260
5/4/2016,53.6715,6508507
5/5/2016,53.5382,6215367
5/6/2016,53.5954,6378690
5/9/2016,53.9094,5976229
5/10/2016,54.7185,7931185
5/11/2016,53.5192,8118920
5/12/2016,53.5858,6870281
5/13/2016,53.129,5466041
5/16/2016,52.853,9536192
5/17/2016,52.2343,10530018
5/18/2016,52.1581,7468496
5/19/2016,51.9202,7582848
5/20/2016,51.9868,8430783
5/23/2016,51.9678,7352054
5/24/2016,52.7673,7748697
5/25/2016,52.4913,8126058
5/26/2016,52.6245,9451708
5/27/2016,52.4913,6631120
5/31/2016,52.2438,12043976
6/1/2016,52.1772,8761577
6/2/2016,51.9868,8307488
6/3/2016,51.9773,6649224
6/6/2016,52.9101,9900917
6/7/2016,52.634,7173072
6/8/2016,52.5579,7623851
6/9/2016,52.9005,5927854
6/10/2016,52.22,8118651
6/13/2016,52.3866,7928722
6/14/2016,52.891,8036517
6/15/2016,52.6816,7447317
6/16/2016,52.853,7968033
6/17/2016,52.6436,9503017
6/20/2016,52.7102,7286681
6/21/2016,53.1195,7445109
6/22/2016,52.9291,7215411
6/23/2016,53.424,5569431
6/24/2016,52.0439,14654672
6/27/2016,51.1017,11650798
6/28/2016,52.2057,8416950
6/29/2016,54.0046,11103787
6/30/2016,54.3663,10215193
7/1/2016,54.2426,8330308
7/5/2016,54.0332,7274208
7/6/2016,54.0141,8474188
7/7/2016,54.1664,6813347
7/8/2016,53.7857,12655500
7/11/2016,53.6049,10394366
7/12/2016,54.7089,10998486
7/13/2016,53.7572,12183638
7/14/2016,54.8136,11353599
7/15/2016,54.6423,8494000
7/18/2016,54.1759,7614635
7/19/2016,54.0237,8719772
7/20/2016,54.7661,9446396
